Abelia chinensis var. ionandra;たいわんつくばねうつぎ;台湾衝羽根空木
Cimicifuga simplex;さらしなしょうま;晒菜升麻
Cinchona succirubra;あかキナのき;赤キナの木
Cinnamomum camphora;くすのき;樟
Cinnamomum japonicum;やぶにっけい;藪肉桂
Cinnamomum okinawense;にっけい;肉桂
Circaea cordata;うしたきそう;牛滝草
Circaea erubescens;たにたで;谷蓼
Circaea mollis;みずたまそう;水玉草
Cirrhopetalum x Louis Sander;キルホペタルム・ルイスサンダー;
Cirsium arvense;せいようとげあざみ;西洋棘薊
Cirsium babanum var. fauriei;きそあざみ;木曽薊
Cirsium babanum var. otayae;たてやまあざみ;立山薊
Cirsium borealinipponense;おにあざみ;鬼薊
Cirsium buergeri;ひめあざみ;姫薊
Cirsium chokaiense;ちょうかいあざみ;鳥海薊
Cirsium confertissimum;こいぶきあざみ;小伊吹薊
Cirsium confertissimum;しろばなこいぶきあざみ;白花小伊吹薊
Cirsium confertissimum var. herbicola;いぶきあざみ;伊吹薊
Cirsium dipsacolepis;もりあざみ;森薊
Cirsium gratiosum;ほうきあざみ;箒薊
Cirsium hachijoense;はちじょうあざみ;八丈薊
Cirsium hida-paludosum;ひだきせるあざみ;飛騨煙管薊
Cirsium inundatum;たちあざみ;立ち薊
Cirsium inundatum ssp. homolepis;おぜぬまあざみ;尾瀬沼薊
Cirsium japonicum;のあざみ;野薊
Cirsium japonicum cv.;ドイツあざみ;ドイツ薊
Cirsium japonicum f. albiflorum;しろばなのあざみ;白花野薊
Cirsium japonicum var. ibukiense;みやまこあざみ;深山小薊
Cirsium kamtschaticum;ちしまあざみ;千島薊
Cirsium maritimum;はまあざみ;浜薊
Cirsium microspicatum;あずまやまあざみ;東山薊
Cirsium microspicatum var. kiotoense;おはらめあざみ;大原女薊
Cirsium nipponicum;なんぶあざみ;南部薊
Cirsium nipponicum var. comosum;いがあざみ;毬薊
Cirsium nipponicum var. incomptum;とねあざみ;利根薊
Cirsium nipponicum var. yoshinoi;よしのあざみ;吉野薊
Cirsium norikurense;のりくらあざみ;乗鞍薊
Cirsium okamotoi;じょうしゅうおにあざみ;上州鬼薊
Cirsium purpuratum;ふじあざみ;富士薊
Cirsium sieboldii;きせるあざみ;煙管薊
Cirsium sieboldii;つくでまあざみ;作手真薊
Cirsium spinosissimum;キルシウム・スピノシッシムム;
Cirsium suzukaense;すずかあざみ;鈴鹿薊
Cirsium tanakae;のはらあざみ;野原薊
Cirsium tashiroi;わたむきあざみ;綿向薊
Cirsium texanum;テキサスあざみ;テキサス薊
Cirsium ugoense;うごあざみ;羽後薊
Cirsium vulgare;アメリカおにあざみ;アメリカ鬼薊
Cirsium yezoense;さわあざみ;沢薊
Cissus discolor;せいしかずら;青紫葛
Cissus rhombifolia cv. Ellen Danica;キッスス・エレンダニカ;
Cissus sicyoides;キッスス・シキオイデス;
Cistus albidus;キスツス・アルビドゥス;午時葵
Cistus incanus ssp. creticus;キスツス・クレティクス;
Cistus ladanifer;キスツス・ラダニフェル;
Cistus salviifolius;キスツス・サルウィフォリウス;
Citrullus lanatus;すいか;西瓜
Citrus aurantifolia;ライム;
Citrus aurantium;だいだい;橙
Citrus cv. Kiyomi-tangora;きよみタンゴール;清見タンゴール
Citrus depressa;しーかーしゃー;
Citrus grandis;ばんぺいゆ;晩白柚
Citrus grandis;ぶんたん;文旦
Citrus hanayu;はなゆ;花柚
Citrus hassaku;はっさく;八朔
Citrus junos;ゆず;柚子
Citrus kinokuni;きしゅうみかん;紀州蜜柑
Citrus latifolia;タヒチライム;
Citrus limon;レモン;檸檬
Citrus limon cv. Ponderosa;レモン・ポンデローザ;
Citrus medica var. sarcodactylis;ぶっしゅかん;仏手柑
Citrus natsudaidai;なつみかん;夏蜜柑
Citrus natsudaidai f. kawanonatsudaidai;あまなつみかん;甘夏蜜柑
Citrus paradisi;グレーブフルーツ;
Citrus pseudogulgul;ししゆず;獅子柚
Citrus reticulata;ぽんかん;椪柑
Citrus sinensis;オレンジ;甘橙
Citrus sudachi;すだち;酸橘
Citrus sulcata;さんぼうかん;三宝柑
Citrus tachibana;たちばな;橘
Citrus x meyeri;きくちレモン;菊地檸檬
Citrus x tangelo cv. Seminole;セミノール;
Cladium chinensis;ひともとすすき;一本薄
Cladonia floerkeana;こあかみごけ;小赤実苔
Cladothamnus bracteatus;みやまほつつじ;深山穂躑躅
Cladrastis lutea;アメリカゆくのき;アメリカゆくの木
Cladrastis platycarpa;ふじき;藤木
Clausena lansium;ワンピ;黄皮
Claytonia perfoliata;クレイトニア・ペルフォリアータ;
Claytonia sibirica;クレイトニア・シビリカ;
Cleistocactus baumannii;クレイストカクツス・バウマンニイ;
Cleistocactus smaragdiflorus;クレイストカクツス・スマラグディフロルス;
Cleistocactus strausii;クレイストカクツス・ストラウシイ;
Cleistocactus winteri;クレイストカクツス・ウィンテリ;
Clematis alpina;クレマチス・アルピナ;
Clematis anshunensis;クレマチス・アンシュネンシス;
Clematis apiifolia;ぼたんづる;牡丹蔓
Clematis armandii;クレマチス・アルマンディー;
Clematis calycina;クレマチス・カリキナ;
Clematis cirrhosa;クレマチス・キルローサ;
Clematis drummondii;クレマチス・ドルモンディイ;
Clematis florida;てっせん;鉄線
Clematis glycinoides;クレマチス・グリキノイデス;
Clematis hybrida;クレマチス;
Clematis lasiandra;たかねはんしょうづる;高嶺半鐘蔓
Clematis ligusticifolia;クレマチス・リグスティキフォリア;
Clematis montana;クレマチス・モンタナ;
Clematis montana var. rubens;クレマチス・ルーベンス;
Clematis ochotensis;みやまはんしょうづる;深山半鐘蔓
Clematis patens;かざぐるま;風車
Clematis spooneri;クレマチス・スプーネリ;
Clematis stans;くさぼたん;草牡丹
Clematis terniflora;せんにんそう;仙人草
Clematis terniflora var. boninensis;むにんせんにんそう;無人仙人草
Clematis terniflora var. mandshurica;たちせんにんそう;立ち仙人草
Clematis texensis;クレマチス・テキセンシス;
Clematis vitalba;クレマチス・ウィタルバ;
Clematis williamsii;しろばなはんしょうづる;白花半鐘蔓
Cleome spinosa;クレオメ;西洋風蝶草
Cleome viscosa;ひめふうちょうそう;姫風蝶草
Clerodendron chinense;やえざきくさぎ;八重咲き臭木
Clerodendron trichotomum;くさぎ;臭木
Clerodendrum bungei;ぼたんくさぎ;牡丹臭木
Clerodendrum incisum var. macrosiphon;クレロデンドルム・マクロシフォン;
Clerodendrum indicum;クレロデンドルム・インディクム;
Clerodendrum japonicum;ひぎり;緋桐
Clerodendrum quadriloculare;クレロデンドルム・クアドリロクラレ;
Clerodendrum scandens;クレロデンドルム・スカンデンス;
Clerodendrum speciosissimum;ジャワひぎり;ジャワ緋桐
Clerodendrum splendens;べにばなくさぎ;紅花臭木
Clerodendrum thomsonae;げんぺいくさぎ;源平臭木
Clerodendrum ugandense;クレロデンドルム・ウガンデンセ;
Clerodendrum wallichii;クレロデンドルム・ワリッキイ;
Clerodendrum x speciosum;べにげんぺいかずら;紅源平葛
Clethra arnifolia;アメリカりょうぶ;アメリカ令法
Clethra arbinervis;りょうぶ;令法
Cleyera japonica;さかき;榊
Climacium dendroides;ふろうそう;不老草
Clinopodium chinense ssp. grandiflorum var. shibetchense;やまくるまばな;山車花
Clinopodium chinense var. parviflorum;くるまばな;車花
Clinopodium gracile;とうばな;塔花
Clinopodium macranthum;みやまくるまばな;深山車花
Clinopodium micranthum;いぬとうばな;犬塔花
Clinopodium multicaule;やまとうばな;山塔花
Clinopodium sachalinense;みやまとうばな;深山塔花
Clintonia udensis;つばめおもと;燕万年青
Clitocybe nebularis;はいいろしめじ;灰色湿地
Clitoria ternatea;ちょうまめ;蝶豆
Clivia caulescens;クリビア・カウレスケンス;
Clivia gardenii;クリビア・ガルデニイ;
Clivia miniata;くんしらん;君子蘭
Clusia rosea;クルシア・ロセア;
Cnidium japonicum;はまぜり;浜芹
Cnidoscolus aconitifolius;チャヤ;
Cnidoscolus texanus;テキサスブルネトル;
Cobananthus calochlamys;コバナンツス・カロクラミス;
Coccoloba uvifera;はまべぶどう;浜辺葡萄
Cocculus trilobus;あおつづらふじ;青葛藤
Cocculus sarmentosus;ほうざんつづらふじ;宝山葛藤
Cochleanthes amazonica;コクレアンテス・アマゾニカ;
Cochliostema odoratissimum;コクリオステマ・オドラティッシムム;
Cochlospermum vitifolium;きばなわたもどき;黄花棉擬き
Cocos nucifera;ココやし;ココ椰子
Cocos nucifera cv. Golden Malayan;キングココやし;椰子
Codiaeum variegatum;クロトンのき;変葉木
Codonanthe digna;コドナンテ・ディグナ;
Codonanthe gracilis;コドナンテ・グラキリス;
Codonopsis lanceolata;つるにんじん;蔓人参
Codonopsis ussuriensis;ばあそぶ;婆そぶ
Coelogyne huetineriana;セロジネ・フエチネリアナ;
Coelogyne intermedia;セロジネ・インテルメディア;
Coelogyne sp.;セロジネ;
Coelogyne speciosa;セロジネ・スペキオサ;
Coelogyne uniflora;セロジネ・ウニフローラ;
Coelopleurum multisectum;みやまぜんこ;深山前胡
Coffea arabica;コーヒーのき;コーヒーの木
Coffea canephora;ロブスタコーヒーのき;木
Coix lacryma-jobi;じゅずだま;数珠玉
Coix ma-yuen;はとむぎ;鳩麦
Colchicum autumnale;コルチカム;犬サフラン
Coleus blumei;コリウス;金襴紫蘇
Colocasia esculenta;さといも;里芋
Colquhounia coccinea;コルクホウニア・コッキネア;
Columnea euphora x lutea;コルムネア・ユーフォラ・ルテア;
Columnea sp.;コルムネア;
Colysis elliptica;いわひとで;岩海星
Colysis pothifolia;おおいわひとで;大岩海星
Colysis wrightii;やりのほくりはらん;槍の穂栗葉蘭
Combretum grandiflorum;コンブレツム・グランディフロルム;
Commelina benghalensis;まるばつゆくさ;丸葉露草
Commelina communis;つゆくさ;露草
Commelina cyanea;コムメリナ・キアネア;
Commelina erecta;コムメリナ・エレクタ;
Conandron ramondioides;いわたばこ;
Coniogramme intermedia;いわがねぜんまい;岩根薇
Conioselinum filicinum;みやませんきゅう;深山川弓
Conium maculatum;どくにんじん;毒人参
Conocephalum conicum;じゃごけ;蛇苔
Conoclinium coelestinum;コノクリニウム・コエレスティヌム;
Conophytum fraternum;コノフィツム・フラテルヌム;
Conophytum sp.;コノフィツム;
Consolida ajacis;ちどりそう;
Convallaria majalis var. keiskei;すずらん;鈴蘭
Convallaria majalis var. majalis;ドイツすずらん;鈴蘭
Convolvulus arvensis;せいようひるがお;西洋昼顔
Convolvulus cneorum;コンボルブルス・クネオルム;
Convolvulus sabatius;コンボルブルス・サバティウス;
Conyza japonica;いずははこ;伊豆母子
Coodwardia orientalis;こもちしだ;子持ち羊歯
Coptis japonica;おうれん;黄蓮
Coptis japonica var. dissecta;せりばおうれん;芹葉黄蓮
Coptis quinquefolia;ばいかおうれん;梅花黄蓮
Coptis trifolia;みつばおうれん;三葉黄蓮
Corallorhiza striata;コラロリザ・ストリアータ;
Corchoropsis tomentosa;からすのごま;烏の胡麻
Corchorus olitorius;モロヘイヤ;台湾綱麻
Cordyline australis;においしゅろらん;匂い棕櫚蘭
Cordyline cabbage tree;コルディリネ・インディウィサ;
Cordyline terminalis;せんねんぼく;千年木
Coreopsis lanceolata;おおきんけいぎく;大金鶏菊
Coreopsis verticillata;いとばはるしゃぎく;糸葉ハルシャ菊
Coriandrum sativum;コリアンダー;
Coriaria japonica;どくうつぎ;毒空木
Cornus alba var. sibirica;さんごみずき;珊瑚水木
Cornus florida;はなみずき;花水木
Cornus foemina;コルヌス・フォエミナ;
Cornus hongkongensis;じょうりょくやまぼうし;常緑山法師
Cornus kousa;やまぼうし;山法師
Cornus mas;せいようさんしゅゆ;西洋山茱萸
Cornus officinalis;さんしゅゆ;山茱萸
Cornus sanguinea;せいようみずき;西洋水木
Cornus sericea 'Flaviramea';おうごんみずき;黄金水木
Coronilla vaginalis;コロニラ・ウァギナリス;
Coronilla valentina;コロニラ・バレンチナ;
Coronilla varia;たまざきくさふじ;玉咲き草藤
Correa reflexa;コレア・リフレクサ;
Cortaderia argentea;パンパスグラス;白銀葭
Corydalis bulbosa;オランダえんごさく;オランダ延胡索
Corydalis cashmeriana;コリダリス・カシュメリアナ;
Corydalis decumbens;じろぼうえんごさく;次郎坊延胡索
Corydalis flexuosa;ヒマラヤえんごさく;ヒマラヤ延胡索
Corydalis incisa;むらさきけまん;紫華鬘
Corydalis lineariloba;やまえんごさく;山延胡索
Corydalis lutea;コリダリス・ルテア;
Corydalis ochotensis;つるきけまん;蔓黄華鬘
Corydalis pallida var. tenuis;みやまきけまん;深山黄華鬘
Corylopsis pauciflora;ひゅうがみずき;日向水木
Corylopsis spicata;とさみずき;土佐水木
Corylus heterophylla var. thunbergii;はしばみ;榛
Corylus sieboldiana;つのはしばみ;角榛
Corymbia maculata;スポッティドガム;
Cosmos bipinnatus;コスモス;秋桜
Cosmos sulphureus;きばなコスモス;黄花秋桜
Costus igneus;コスツス・イグネウス;
Costus malortieanus;コスツス・マロルティエアヌス;
Costus megalobractea;コスツス・メガロブラクテア;
Costus speciosus;コスツス・スペキオスス;穂咲き菖蒲
Costus spicatus;コスツス・スピカツス;
Cotinus coggygria;はぐまのき;白熊の木
Cotoneaster distichus;コトネアスター・ディスティクス;
Cotoneaster horizontalis;べにしたん;紅紫檀
Cotoneaster lactea;コトネアスター・ラクテア;
Cotoneaster permutatus;コトネアスター・ペルムタツス;
Cotoneaster sp.;コトネアスター;
Cotula coronopifolia;コツラ・コロノピフォリア;
Cotyledon decussata;コチレドン・デクッサタ;聖刀
Cotyledon orbiculata var. higginsiae;コチレドン・ヒギンシアエ;
Cotyledon orbiculata var. oophylla;コチレドン・オーフィラ;福娘
Couroupita guianensis;ほうがんのき;砲丸の木
Crambe tataria;クランベ・タタリア;
Craspedia globosa;クラスペディア・グロボーサ;
Crassocephalum crepidoides;べにばなぼろぎく;紅花襤褸菊
Crassula erosula cv. Campfire;ひまつり;火祭り
Crassula falcata;じんとう;神刀
Crassula muscosa;せいさりゅう;青鎖竜
Crassula portulacea;ふちべにべんけい;縁紅弁慶
Crassula rupestris;じゅずひめ;寿珠姫・珠々姫
Crataegus cuneata;さんざし;山査子
Crataegus cuneata;きみのさんざし;黄実の山査子
Crataegus flava;クラタエグス・フラウァ;
Crataegus laevigata cv. Paul's Scarlet;あかばなやえさんざし;赤花八重山査子
Crataegus monogyna;いけがきせいようさんざし;生垣西洋山査子
Crataegus oxyacantha;せいようさんざし;西洋山査子
Crataegus pinnatifida;おおさんざし;大山査子
Crataegus viridis;グリーンホーソーン;
Crataegus x lavallei;ラバルさんざし;ラバル山査子
Cremastra appendiculata;さいはいらん;采配蘭
Crepidiastrum platyphyllum;わだん;
Crepis alpestris;クレピス・アルペストリス;
Crepis aurea;クレピス・アウレア;
