Abelia chinensis var. ionandra;たいわんつくばねうつぎ;台湾衝羽根空木
Androsace limprichtii;アンドロサケ・リンプリヒティー;
Androsace sempervivoides;ときわはながた;常磐花形
Androsace septentrionalis;アンドロサケ・セプテントリオナリス;
Androsace vitaliana;アンドロサケ・ウィタリアナ;
Aneilema keisak;いぼくさ;疣草
Anemia phyllitidis;アネミア・フィリティディス;
Anemone canadensis;メドーアネモネ;
Anemone coronaria;アネモネ;牡丹一華
Anemone coronaria;アネモネ;牡丹一華
Anemone debilis;ひめいちげ;姫一華
Anemone deltoidea;アネモネ・デルトイデア;
Anemone dichotoma;ふたまたいちげ;二股一華
Anemone flaccida;にりんそう;二輪草
Anemone hupehensis var. japonica;しゅうめいぎく;秋明菊
Anemone magellanica;アネモネ・マゲラニカ;
Anemone narcissiflora;アネモネ・ナルキシフローラ;
Anemone narcissiflora var. nipponica;はくさんいちげ;白山一華
Anemone nemorosa;やぶいちげ;藪一華
Anemone nikoensis;いちりんそう;一輪草
Anemone obtusiloba;アネモネ・オブツシロバ;
Anemone pseudo-altaica;きくざきいちげ;菊咲き一華
Anemone raddeana;あずまいちげ;東一華
Anemone ranunculoides;アネモネ・ラヌンクロイデス;
Anemone rivularis;アネモネ・リブラリス;
Anemone stolonifera;さんりんそう;三輪草
Anemone sylvestris;アネモネ・シルウェストリス;梅花一華
Anemonella thalictroides;ばいかからまつそう;梅花落葉松草
Anemonopsis macrophylla;れんげしょうま;蓮華升麻
Anethum graveolens;ディル;
Angelica acutiloba;とうき;当帰
Angelica acutiloba ssp. iwatensis;みやまとうき;深山当帰
Angelica decursiva;のだけ;野竹
Angelica edulis;あまにゅう;甘にゅう
Angelica genuflexa;おおばせんきゅう;大葉川弓
Angelica japonica;はまうど;浜独活
Angelica keiskei;あしたば;明日葉
Angelica matsumurae;みやまししうど;深山猪独活
Angelica matsumurae f. muratae;けなしみやまししうど;毛無し深山猪独活
Angelica polymorpha;しらねせんきゅう;白根川弓
Angelica pubescens;ししうど;猪独活
Angelica sylvestris;ワイルドアンジェリカ;
Angelonia angustifolia;アンゲロニア;
Angiopteris palmiformis;ほそばりゅうびんたい;細葉竜鱗
Angophora costata;シドニーレッドガム;
Angraecum compactum;アングレクム・コンパクツム;
Angraecum eburneum;アングレクム・エブルネウム;
Angraecum leonis;アングレクム・レオニス;
Angraecum sesquipedale;アングレクム・セスキペダーレ;
Anigozanthos flavidus;アニゴザントス・フラウィドゥス;
Anigozanthos manglesii;カンガルーポー;
Anisacanthus quadrifidus var. wrightii;アニサカンツス・ライティー;
Anisodontea malvastroides;アニソドンテア・マルウァストロイデス;
Annona cherimolia;チェリモヤ;
Annona glabra;ポンドアップル;犬番茘枝
Annona montana;やまとげばんれいし;山棘番茘枝
Annona muricata;とげばんれいし;棘番茘枝
Annona reticulata;ぎゅうしんり;牛心梨
Annona squamosa;ばんれいし;番茘枝
Anoda cristata;アノダ・クリスタータ;
Anredera cordifolia;あかざかずら;藜蔓
Antennaria dioica;えぞのちちこぐさ;蝦夷の父子草
Anthemis nobilis;ローマンカモミール;
Anthemis tinctoria;ダイヤーズカモミール;紺屋カミツレ
Anthericum liliago;アンテリクム・リリアゴ;
Anthoxanthum odoratum;はるがや;春茅
Anthriscus aemula;しゃく;
Anthriscus cerefolium;チャービル;茴香芹
Anthurium amnicola;アンスリウム・アムニコラ;
Anthurium andreanum;おおべにうちわ;大紅団扇
Anthurium crystallium;しろしまうちわ;白縞団扇
Anthurium longifolium;アンスリウム・ロンギフォリウム;
Anthurium polyschistum;もみじばうちわ;紅葉葉団扇
Anthurium scandens;アンスリウム・スカンデンス;
Anthurium wendlingeri;アンスリウム・ウェンドリンゲリ;
Anthyllis vulneraria;キドニーベッチ;
Antidesma bunius;ビグネイ;南洋五味子
Antidesma pentandrum;しまやまひはつ;島山篳撥
Antigonon leptopus;アンティゴノン・レプトプス;
Antirrhinum majus;きんぎょそう;金魚草
Anulacaulis leiosolenus;アヌロカウリス・レイオソレヌス;
Aphananthe aspera;むくのき;椋の木
Aphelandra aurantiaca;アフェランドラ・アウランティアカ;
Aphelandra sinclairiana;アフェランドラ・シンクレリアナ;
Apios americana;アメリカほどいも;塊芋
Apium graveolens var. dulce;セロリ;オランダ三葉
Apium graveolens var. secalinum;スープセロリ;オランダ三葉
Apocynum venetum;らふま;羅布麻
Aponogeton distachyus;みずさんざし;水山査子
Aponogeton fenestralis;レースそう;レース草
Aptenia cordifolia;アプテニア;花蔓草
Aquilegia atrata;アクイレギア・アトラータ;
Aquilegia buergeriana;やまおだまき;山苧環
Aquilegia buergeriana f. flavescens;きばなのやまおだまき;黄花の山苧環
Aquilegia canadensis;カナダおだまき;カナダ苧環
Aquilegia caerulea;アクイレギア・カエルレア;
Aquilegia chrysantha;アクイレギア・クリサンタ;
Aquilegia desertorum;アクイレギア・デセルトルム;
Aquilegia ecalcarata;ふうりんおだまき;風鈴苧環
Aquilegia flabellata var. flabellata;おだまき;苧環
