Echinops sphaerocephalus;okruglasta sikavica;sikavica krugloglavka,krugoglava sikavica
Echium italicum;visoka lisičina;lisičina,lisičje uho,lisičina osovna
Echium plantagineum;trputasta lisičina;lisičina lopatasta,ružičasta lisičina
Echium vulgare;obična lisičina;buražin divji,lisičje uho,zimiglava,zmijinska glava,zmijozrnac,krastavac,lisičina modra,lisičina,lisičji rep
Elaeagnus angustifolia;uskolisna zlolesina;dafina,srebrna vrba,zlolesina,dafin
Elatine alsinastrum;pršljenasta pobarica;
Elatine hexandra;šestoprašnička pobarica;pobarica šestorka
Elatine hydropiper;pobarica četvorna;
Elatine triandra;troprašnička pobarica;pobarica trojna
Eleocharis acicularis;četverobridna jezernica;
Eleocharis ovata;jajolika jezernica;
Eleocharis palustris;močvarna jezernica;botur,sitnik,ševarika,vezljika
Eleocharis parvula;patuljasta jezernica;
Eleocharis quinqueflora;peterocvjetna jezernica;
Eleocharis uniglumis;jednopljevična jezernica;
Eleusine indica;eleuzina;
Elodea canadensis;kanadska vodena kuga;
Elsholtzia ciliata;češljasta metvica;
Elymus elongatus;dugačka pirika;
Kobresia myosuroides;planinska elina;
Empetrum nigrum;crna mahunica;mahunica
Epilobium alpestre;pretplaninska vrbolika;vrbolika trosrha
Epilobium alsinifolium;mišjakinjasta vrbolika;
Epilobium angustifolium;uskolisni kiprej;vrbolika uzkolistna,vrbolika,kiprovina,vrbica
Epilobium collinum;brežuljkava vrbolika;
Epilobium dodonaei;močvarnik;
Epilobium hirsutum;čupava vrbolika;vrbolika kosmata,pupoljka,nočurak runjavi
Epilobium lanceolatum;suličasta vrbolika;vrbolika bodkastolistna
Epilobium montanum;gorska vrbolika;
Epilobium obscurum;tamna vrbolika;
Epilobium palustre;močvarna vrbolika;
Epilobium parviflorum;sitnocvjetna vrbolika;
